# mapping_set_id: https://github.com/Pinellia7ternata/TCM-Symptom-Ontology/mappings/TCM-SO-ICD11.sssom.tsv
# license: https://creativecommons.org/licenses/by/4.0/
# mapping_provider: https://github.com/Pinellia7ternata/TCM-Symptom-Ontology
# mapping_date: 2026-09-17
# creator_id: https://github.com/Pinellia7ternata
# mapping_tool: manual expert curation after lexical/semantic pre-screening
# object_source: ICD-11 for Mortality and Morbidity Statistics (MMS)
# comment_type
# comment: Subject classes are TCM Symptom Ontology (TCM-SO, release v4.10) symptom classes; predicate and object identify the cross-terminology alignment.
# curie_map:
#   TCM-SO: http://OntoTCM.org.cn/ontologies/tcm_v38/f#
#   HP: http://purl.obolibrary.org/obo/HP_
#   SNOMEDCT: http://snomed.info/id/
#   ICD11: https://icd.who.int/browse11/l-m/en#
subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	curation_status
TCM-SO:sx_人中色黑	Black philtrum	skos:closeMatch	ICD11:XA5LY8	Philtrum	semapv:ManualMappingCuration	
TCM-SO:sx_人中色黑	Black philtrum	skos:closeMatch	ICD11:XM08L6	Afghanistan black	semapv:ManualMappingCuration	
TCM-SO:sx_人中色黑	Black philtrum	skos:closeMatch	ICD11:XM2WE8	Mustard black	semapv:ManualMappingCuration	
TCM-SO:sx_妄见	visual hallucination	skos:exactMatch	ICD11:MB27.27	Visual hallucinations	semapv:ManualMappingCuration	
TCM-SO:sx_舌起芒刺	With raised prickles tongue	skos:closeMatch	ICD11:DA03.1	Geographic tongue	semapv:ManualMappingCuration	
TCM-SO:sx_舌起芒刺	With raised prickles tongue	skos:closeMatch	ICD11:MA14.1C	Raised antibody titre	semapv:ManualMappingCuration	
TCM-SO:sx_烧伤起泡	burn blistering	skos:closeMatch	ICD11:ME63.3	Chronic blistering skin disorder	semapv:ManualMappingCuration	
TCM-SO:sx_烧伤起泡	burn blistering	skos:closeMatch	ICD11:ME62.6	Acute blistering skin eruption	semapv:ManualMappingCuration	
TCM-SO:sx_头痛	Headache	skos:exactMatch	ICD11:8A80	Migraine-free headache	semapv:ManualMappingCuration	
TCM-SO:sx_持续痛	Persistent pain	skos:closeMatch	ICD11:XT6Z	Persistent	semapv:ManualMappingCuration	
TCM-SO:sx_唇色淡红	Pale red lip	skos:closeMatch	ICD11:SF00	Blood deficiency pattern (TM1)	semapv:ManualMappingCuration	
TCM-SO:sx_唇色淡红	Pale red lip	skos:closeMatch	ICD11:SR1T	Blood deficiency pattern (TM2)	semapv:ManualMappingCuration	
TCM-SO:sx_小便中有沉淀	sediment in urine	skos:closeMatch	ICD11:SF79	Spleen deficiency with dampness accumulation pattern (TM1)	semapv:ManualMappingCuration	
TCM-SO:sx_小便中有沉淀	sediment in urine	skos:closeMatch	ICD11:SF7M	Spleen and kidney yang deficiency pattern (TM1)	semapv:ManualMappingCuration	
TCM-SO:sx_鼻头枯稿	withered nasal tip	skos:closeMatch	ICD11:1C17.1	Nasal diphtheria	semapv:ManualMappingCuration	
TCM-SO:sx_鼻头枯稿	withered nasal tip	skos:closeMatch	ICD11:XA8817	Nasal turbinate	semapv:ManualMappingCuration	
TCM-SO:sx_鼻头枯稿	withered nasal tip	skos:closeMatch	ICD11:XA3RT8	Elbow tip	semapv:ManualMappingCuration	
TCM-SO:sx_幻臭	olfactory hallucination	skos:exactMatch	ICD11:MB27.24	Olfactory hallucinations	semapv:ManualMappingCuration	
TCM-SO:sx_嗳气频作	frequent belching	skos:closeMatch	ICD11:MD91	Belching	semapv:ManualMappingCuration	
TCM-SO:sx_耳后缝糜烂结痴	eroded crusted retroauricular fold	skos:closeMatch	ICD11:XA5163	Nasolabial fold	semapv:ManualMappingCuration	
TCM-SO:sx_耳后缝糜烂结痴	eroded crusted retroauricular fold	skos:closeMatch	ICD11:XA8N50	Laryngeal aspect of aryepiglottic fold	semapv:ManualMappingCuration	
TCM-SO:sx_甲床淡白	pale nail bed	skos:closeMatch	ICD11:XA6189	Nail bed of third toe	semapv:ManualMappingCuration	
TCM-SO:sx_甲床淡白	pale nail bed	skos:closeMatch	ICD11:XA7B22	Nail bed of second toe	semapv:ManualMappingCuration	
TCM-SO:sx_甲床淡白	pale nail bed	skos:closeMatch	ICD11:XA65U3	Nail bed of fourth toe	semapv:ManualMappingCuration	
TCM-SO:sx_便如黄糜	yellow gruel-like stool	skos:closeMatch	ICD11:XE484	Stool	semapv:ManualMappingCuration	
TCM-SO:sx_寒热往来有定时	alternating chills and fever at regular intervals	skos:closeMatch	ICD11:SD93	Alternating fever and chills disorder (TM1)	semapv:ManualMappingCuration	
TCM-SO:sx_寒热往来有定时	alternating chills and fever at regular intervals	skos:closeMatch	ICD11:MG21	Chills	semapv:ManualMappingCuration	
TCM-SO:sx_小腹痛	Abdominal pain	skos:closeMatch	ICD11:SM33	Abdominal pain disorder (TM2)	semapv:ManualMappingCuration	
TCM-SO:sx_小腹痛	Abdominal pain	skos:closeMatch	ICD11:DD91.4	Functional abdominal pain syndrome	semapv:ManualMappingCuration	
TCM-SO:sx_小腹痛	Abdominal pain	skos:closeMatch	ICD11:SC10	Puerperal abdominal pain disorder (TM1)	semapv:ManualMappingCuration	
TCM-SO:sx_脉沉	Deep pulse	skos:closeMatch	ICD11:XK16	Deep	semapv:ManualMappingCuration	
TCM-SO:sx_四肢沉重	heaviness of limbs	skos:closeMatch	ICD11:LD26.3	Syndromes with synostoses of limbs	semapv:ManualMappingCuration	
TCM-SO:sx_左侧胸廓塌陷	left-sided thoracic collapse	skos:closeMatch	ICD11:DD71.1	Left sided ulcerative colitis	semapv:ManualMappingCuration	
TCM-SO:sx_口唇色赤	red lips	skos:closeMatch	ICD11:SF7F	Stomach heat pattern (TM1)	semapv:ManualMappingCuration	
TCM-SO:sx_口唇色赤	red lips	skos:closeMatch	ICD11:SE72	Heat pattern (TM1)	semapv:ManualMappingCuration	
TCM-SO:sx_早泄	Premature ejaculation	skos:closeMatch	ICD11:SB08	Premature ejaculation disorder (TM1)	semapv:ManualMappingCuration	
TCM-SO:sx_脊柱侧弯	Scoliosis	skos:exactMatch	ICD11:FA70.1	Scoliosis	semapv:ManualMappingCuration	
TCM-SO:sx_脊柱侧弯	Scoliosis	skos:closeMatch	ICD11:FC01.5	Post radiation scoliosis	semapv:ManualMappingCuration	
TCM-SO:sx_皮肤色黄如橘	orange-yellow skin	skos:closeMatch	ICD11:XM2XN1	Orange	semapv:ManualMappingCuration	
TCM-SO:sx_烧伤皮肤色赤	red skin of burn	skos:closeMatch	ICD11:XA04T9	Skin of nose	semapv:ManualMappingCuration	
TCM-SO:sx_烧伤皮肤色赤	red skin of burn	skos:closeMatch	ICD11:XA9E26	Skin of auricle	semapv:ManualMappingCuration	
TCM-SO:sx_烧伤皮肤色赤	red skin of burn	skos:closeMatch	ICD11:XA66R9	Skin of elbow	semapv:ManualMappingCuration	under_review
TCM-SO:sx_嗅觉减退	Hyposmia	skos:exactMatch	ICD11:MB41.3	Hyposmia	semapv:ManualMappingCuration	
TCM-SO:sx_上腭黏膜白腐	white curdled palatal mucosa	skos:closeMatch	ICD11:XA00H5	Palatal mucosa	semapv:ManualMappingCuration	
TCM-SO:sx_上腭黏膜白腐	white curdled palatal mucosa	skos:closeMatch	ICD11:XA0PT3	Mucosa	semapv:ManualMappingCuration	
TCM-SO:sx_听力减退	Hearing impairment	skos:closeMatch	ICD11:AB51.Z	Acquired hearing impairment, unspecified	semapv:ManualMappingCuration	
TCM-SO:sx_听力减退	Hearing impairment	skos:closeMatch	ICD11:AB51.Y	Other specified acquired hearing impairment	semapv:ManualMappingCuration	
TCM-SO:sx_听力减退	Hearing impairment	skos:closeMatch	ICD11:AB5Y	Other specified disorders with hearing impairment	semapv:ManualMappingCuration	
TCM-SO:sx_眵泪	eye discharge and tears	skos:closeMatch	ICD11:MC14	Eye discharge	semapv:ManualMappingCuration	
TCM-SO:sx_呵欠频作	frequent yawning	skos:closeMatch	ICD11:MD11.D	Yawning	semapv:ManualMappingCuration	under_review
TCM-SO:sx_便稀如水	watery stool	skos:closeMatch	ICD11:XE484	Stool	semapv:ManualMappingCuration	
TCM-SO:sx_环口色青	Bluish perioral-region	skos:closeMatch	ICD11:XA1A48	Perioral region	semapv:ManualMappingCuration	
TCM-SO:sx_大便硬结	hard stool	skos:closeMatch	ICD11:XE484	Stool	semapv:ManualMappingCuration	
TCM-SO:sx_视远物不清	blurred distant vision	skos:closeMatch	ICD11:SF70	Spleen qi deficiency pattern (TM1)	semapv:ManualMappingCuration	
TCM-SO:sx_视远物不清	blurred distant vision	skos:closeMatch	ICD11:SF60	Heart qi deficiency pattern (TM1)	semapv:ManualMappingCuration	under_review
TCM-SO:sx_视远物不清	blurred distant vision	skos:closeMatch	ICD11:SF54	Liver blood deficiency pattern (TM1)	semapv:ManualMappingCuration	
TCM-SO:sx_异物入耳	foreign body entering the ear	skos:closeMatch	ICD11:ND71	Foreign body in ear	semapv:ManualMappingCuration	
TCM-SO:sx_异物入耳	foreign body entering the ear	skos:closeMatch	ICD11:ND7Z	Effects of foreign body entering through natural orifice, unspecified	semapv:ManualMappingCuration	
TCM-SO:sx_颅缝开解	separation of cranial sutures	skos:closeMatch	ICD11:KD31	Wide cranial sutures of newborn	semapv:ManualMappingCuration	
TCM-SO:sx_尿短黄	scanty dark-yellow urine	skos:closeMatch	ICD11:SE72	Heat pattern (TM1)	semapv:ManualMappingCuration	
TCM-SO:sx_便血	Hematochezia	skos:exactMatch	ICD11:ME24.A	Digestive tract haemorrhage	semapv:ManualMappingCuration	
TCM-SO:sx_风团瘙痒	itchy wheals	skos:closeMatch	ICD11:SF9F	Bladder heat accumulation pattern (TM1)	semapv:ManualMappingCuration	
TCM-SO:sx_喷嚏	Sneeze	skos:exactMatch	ICD11:MD11.9	Sneezing	semapv:ManualMappingCuration	
TCM-SO:sx_多疑	suspiciousness	skos:exactMatch	ICD11:MB26.9	Suspiciousness	semapv:ManualMappingCuration	
TCM-SO:sx_睑板色淡	Pale tarsal-plate	skos:closeMatch	ICD11:SF00	Blood deficiency pattern (TM1)	semapv:ManualMappingCuration	
TCM-SO:sx_睑板色淡	Pale tarsal-plate	skos:closeMatch	ICD11:SR1T	Blood deficiency pattern (TM2)	semapv:ManualMappingCuration	under_review
TCM-SO:sx_重痛	Heavy pain	skos:closeMatch	ICD11:SF01	Blood stasis pattern (TM1)	semapv:ManualMappingCuration	
TCM-SO:sx_结节色红	Red nodule	skos:closeMatch	ICD11:SK6T	Phlyctenular nodule disorder (TM2)	semapv:ManualMappingCuration	
TCM-SO:sx_尿少	oliguria	skos:closeMatch	ICD11:SM8E	Oliguria disorder (TM2)	semapv:ManualMappingCuration	
TCM-SO:sx_尿少	oliguria	skos:closeMatch	ICD11:MF51	Anuria or oliguria	semapv:ManualMappingCuration	
TCM-SO:sx_尿少	oliguria	skos:closeMatch	ICD11:SE72	Heat pattern (TM1)	semapv:ManualMappingCuration	
TCM-SO:sx_肩痛	Shoulder pain	skos:closeMatch	ICD11:FB56.2	Shoulder lesion	semapv:ManualMappingCuration	
TCM-SO:sx_哮鸣	Wheezing	skos:closeMatch	ICD11:SA81	Wheezing disorder (TM1)	semapv:ManualMappingCuration	
TCM-SO:sx_哮鸣	Wheezing	skos:exactMatch	ICD11:MD11.C	Wheezing	semapv:ManualMappingCuration	
TCM-SO:sx_哮鸣	Wheezing	skos:closeMatch	ICD11:SF85	Cold phlegm obstructing the lung pattern (TM1)	semapv:ManualMappingCuration	
TCM-SO:sx_大便臭如败卵	stool smelling like rotten eggs	skos:closeMatch	ICD11:XE484	Stool	semapv:ManualMappingCuration	
TCM-SO:sx_时时泛恶	frequent nausea	skos:closeMatch	ICD11:MD90.0	Nausea	semapv:ManualMappingCuration	
TCM-SO:sx_胀痛	Distending pain	skos:closeMatch	ICD11:SF57	Liver qi stagnation pattern (TM1)	semapv:ManualMappingCuration	
TCM-SO:sx_胀痛	Distending pain	skos:closeMatch	ICD11:SE91	Qi stagnation pattern (TM1)	semapv:ManualMappingCuration	
TCM-SO:sx_经血如崩	flooding menstrual bleeding	skos:closeMatch	ICD11:GA20.51	Light menstrual bleeding	semapv:ManualMappingCuration	
TCM-SO:sx_脓色黑	Black pus	skos:closeMatch	ICD11:XM08L6	Afghanistan black	semapv:ManualMappingCuration	
TCM-SO:sx_脓色黑	Black pus	skos:closeMatch	ICD11:XM2WE8	Mustard black	semapv:ManualMappingCuration	
TCM-SO:sx_脓色黑	Black pus	skos:closeMatch	ICD11:XM5733	Black pepper	semapv:ManualMappingCuration	
TCM-SO:sx_体毛脱落	loss of body hair	skos:closeMatch	ICD11:XA1WH2	Body hair	semapv:ManualMappingCuration	
TCM-SO:sx_阴茎疼痛	Pain in penis	skos:exactMatch	ICD11:MF40.00	Pain in penis	semapv:ManualMappingCuration	
TCM-SO:sx_鳞屑不易脱落	scales difficult to detach	skos:closeMatch	ICD11:XE2JZ	Difficult to insert	semapv:ManualMappingCuration	
TCM-SO:sx_指甲色黄	Yellow nail	skos:closeMatch	ICD11:EE11.1	Yellow nail syndrome	semapv:ManualMappingCuration	
TCM-SO:sx_指甲色黄	Yellow nail	skos:closeMatch	ICD11:XA6Q52	Nail	semapv:ManualMappingCuration	
