# mapping_set_id: https://github.com/Pinellia7ternata/TCM-Symptom-Ontology/mappings/TCM-SO-SNOMEDCT.sssom.tsv
# license: https://creativecommons.org/licenses/by/4.0/
# mapping_provider: https://github.com/Pinellia7ternata/TCM-Symptom-Ontology
# mapping_date: 2026-09-17
# creator_id: https://github.com/Pinellia7ternata
# mapping_tool: manual expert curation after lexical/semantic pre-screening
# object_source: SNOMED CT (International Edition)
# comment_type
# comment: Subject classes are TCM Symptom Ontology (TCM-SO, release v4.10) symptom classes; predicate and object identify the cross-terminology alignment.
# curie_map:
#   TCM-SO: http://OntoTCM.org.cn/ontologies/tcm_v38/f#
#   HP: http://purl.obolibrary.org/obo/HP_
#   SNOMEDCT: http://snomed.info/id/
#   ICD11: https://icd.who.int/browse11/l-m/en#
subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	curation_status
TCM-SO:sx_鼻头枯稿	withered nasal tip	skos:closeMatch	SNOMEDCT:249326006	bifid nasal tip	semapv:ManualMappingCuration	
TCM-SO:sx_鼻头枯稿	withered nasal tip	skos:closeMatch	SNOMEDCT:249327002	broad nasal tip	semapv:ManualMappingCuration	
TCM-SO:sx_小腹痛	Abdominal pain	skos:exactMatch	SNOMEDCT:21522001	abdominal discomfort	semapv:ManualMappingCuration	
TCM-SO:sx_饭后欲睡	postprandial drowsiness	skos:closeMatch	SNOMEDCT:79519003	abnormal drowsiness	semapv:ManualMappingCuration	
TCM-SO:sx_饭后欲睡	postprandial drowsiness	skos:closeMatch	SNOMEDCT:271782001	abnormal drowsiness	semapv:ManualMappingCuration	
TCM-SO:sx_口唇色赤	red lips	skos:closeMatch	SNOMEDCT:7847004	cheilitis	semapv:ManualMappingCuration	
TCM-SO:sx_早泄	Premature ejaculation	skos:exactMatch	SNOMEDCT:44001008	premature ejaculation	semapv:ManualMappingCuration	
TCM-SO:sx_早泄	Premature ejaculation	skos:closeMatch	SNOMEDCT:15405008	delayed ejaculation	semapv:ManualMappingCuration	
TCM-SO:sx_脊柱侧弯	Scoliosis	skos:exactMatch	SNOMEDCT:111266001	cobb angle greater than ten degrees	semapv:ManualMappingCuration	
TCM-SO:sx_脊柱侧弯	Scoliosis	skos:exactMatch	SNOMEDCT:64217002	cobb angle greater than ten degrees	semapv:ManualMappingCuration	
TCM-SO:sx_脊柱侧弯	Scoliosis	skos:closeMatch	SNOMEDCT:203645000	compensatory scoliosis	semapv:ManualMappingCuration	
TCM-SO:sx_口张	open mouth (inability to close)	skos:closeMatch	SNOMEDCT:262016004	gaped jawed appearance	semapv:ManualMappingCuration	
TCM-SO:sx_皮肤色黄如橘	orange-yellow skin	skos:closeMatch	SNOMEDCT:18165001	icterus	semapv:ManualMappingCuration	
TCM-SO:sx_嗅觉减退	Hyposmia	skos:exactMatch	SNOMEDCT:83156004	decreased smell sensation	semapv:ManualMappingCuration	
TCM-SO:sx_下肢青脉显露	prominent blue vessels of lower limbs	skos:closeMatch	SNOMEDCT:109504005	big lower jaw	semapv:ManualMappingCuration	
TCM-SO:sx_下肢青脉显露	prominent blue vessels of lower limbs	skos:closeMatch	SNOMEDCT:22810007	big lower jaw	semapv:ManualMappingCuration	
TCM-SO:sx_听力减退	Hearing impairment	skos:exactMatch	SNOMEDCT:103276001	deafness	semapv:ManualMappingCuration	
TCM-SO:sx_听力减退	Hearing impairment	skos:exactMatch	SNOMEDCT:15188001	deafness	semapv:ManualMappingCuration	
TCM-SO:sx_听力减退	Hearing impairment	skos:exactMatch	SNOMEDCT:95828007	deafness	semapv:ManualMappingCuration	
TCM-SO:sx_便稀如水	watery stool	skos:exactMatch	SNOMEDCT:267060006	diarrhea	semapv:ManualMappingCuration	
TCM-SO:sx_便稀如水	watery stool	skos:exactMatch	SNOMEDCT:62315008	diarrhea	semapv:ManualMappingCuration	
TCM-SO:sx_视远物不清	blurred distant vision	skos:closeMatch	SNOMEDCT:111516008	blurred vision	semapv:ManualMappingCuration	
TCM-SO:sx_视远物不清	blurred distant vision	skos:closeMatch	SNOMEDCT:246636008	blurred vision	semapv:ManualMappingCuration	
TCM-SO:sx_颅缝开解	separation of cranial sutures	skos:closeMatch	SNOMEDCT:268855009	broad cranial sutures	semapv:ManualMappingCuration	
TCM-SO:sx_颅缝开解	separation of cranial sutures	skos:closeMatch	SNOMEDCT:276710001	little cranial sutures	semapv:ManualMappingCuration	
TCM-SO:sx_颅缝开解	separation of cranial sutures	skos:closeMatch	SNOMEDCT:57219006	cranial suture synostosis	semapv:ManualMappingCuration	
TCM-SO:sx_便血	Hematochezia	skos:exactMatch	SNOMEDCT:405737000	Hematochezia	semapv:ManualMappingCuration	
TCM-SO:sx_喷嚏	Sneeze	skos:exactMatch	SNOMEDCT:76067001	Sneezing	semapv:ManualMappingCuration	
TCM-SO:sx_气息微	faint breathing	skos:closeMatch	SNOMEDCT:87317003	breathing cessation	semapv:ManualMappingCuration	
